epoch;accuracy;val_accuracy;loss;val_loss;time;;;;
1;0,951080441;0,971668482;0,420379162;0,118317321;136;;Hasil;max;min
2;0,971615791;0,977166295;0,096910819;0,082056962;125;;Akurasi;0,993262589;0,951080441
3;0,975656986;0,981608331;0,073514812;0,068372428;111;;Val Akurasi;0,990749478;0,971668482
4;0,979055822;0,984305263;0,062278744;0,059177931;101;;Loss;0,420379162;0,018873751
5;0,981316447;0,985618174;0,055482991;0,052461069;120;;Val Loss;0,118317321;0,030879142
6;0,982934654;0,986608326;0,05090256;0,048259713;117;;Waktu;89,48333333;0,984305263
7;0,983841717;0,987144411;0,047667637;0,044815514;104;;Waktu rata rata;107,38;0,985618174
8;0,984750569;0,98752737;0,045149788;0,042604342;106;;;;
9;0,985453188;0,98776257;0,042590369;0,041661993;106;;;;
10;0,986011088;0,987937629;0,040941212;0,040080845;103;;;;
11;0,986484349;0,988101721;0,039268132;0,038781866;104;;;;
12;0,986935735;0,98804158;0,037817497;0,038269538;110;;;;
13;0,987170577;0,98838073;0,036843196;0,03725563;106;;;;
14;0,987576962;0,98818928;0,035415079;0,036914553;104;;;;
15;0,987906694;0,98861599;0,034237754;0,036382135;103;;;;
16;0,98804599;0,988747239;0,033828773;0,03570072;110;;;;
17;0,988356233;0,98876369;0,032709636;0,035313852;109;;;;
18;0,988674402;0,988758206;0,031870984;0,03509127;106;;;;
19;0,988687217;0,988933265;0,03137514;0,034982029;103;;;;
20;0,98894757;0,989059091;0,030683279;0,034282744;106;;;;
21;0,989308298;0,988993406;0,029785674;0,033771787;105;;;;
22;0,989457369;0,989283383;0,029380959;0,033456706;108;;;;
23;0,989737213;0,989277899;0,028701939;0,033392675;104;;;;
24;0,989981771;0,989327133;0,028064286;0,033032708;105;;;;
25;0,990181267;0,989409208;0,027359482;0,033103269;111;;;;
26;0,990231752;0,989770234;0,027133828;0,032735366;117;;;;
27;0,990275562;0,989759326;0,027147982;0,032807607;105;;;;
28;0,990475714;0,990005493;0,026628032;0,03208328;105;;;;
29;0,990868092;0,989978135;0,025626557;0,032105874;105;;;;
30;0,991091967;0,989846826;0,025013769;0,032370716;104;;;;
31;0,991216719;0,989830434;0,024700377;0,032082953;107;;;;
32;0,991405904;0,990175068;0,024062552;0,031690627;104;;;;
33;0,991584718;0,990065634;0,02369279;0,031786308;105;;;;
34;0,991621852;0,99000001;0,023279976;0,032378253;104;;;;
35;0,991550088;0,990279019;0,023460209;0,032009408;105;;;;
36;0,991708875;0,990060151;0,022981809;0,032284532;104;;;;
37;0,991847575;0,990240693;0,022570176;0,031886719;106;;;;
38;0,992089033;0,990175068;0,022091947;0,031888306;104;;;;
39;0,992196143;0,990196943;0,02185747;0,031876866;103;;;;
40;0,992359161;0,990492344;0,0213663;0,030879142;105;;;;
41;0,992334843;0,990432143;0,021324284;0,031240808;105;;;;
42;0,992569029;0,990492344;0,020821776;0,031401873;108;;;;
43;0,992618918;0,990497828;0,020479891;0,031488944;107;;;;
44;0,992800236;0,990508735;0,020160459;0,031420805;103;;;;
45;0,992678523;0,990612686;0,020270566;0,031312685;106;;;;
46;0,992810547;0,990623653;0,020091711;0,031171473;107;;;;
47;0,993035674;0,990410268;0,01943545;0,031884443;107;;;;
48;0,993083715;0,990410268;0,019239159;0,031920593;107;;;;
49;0,993071556;0,990749478;0,019110495;0,031439055;106;;;;
50;0,993262589;0,990333676;0,018873751;0,032185588;107;;;;
