epoch;accuracy;val_accuracy;loss;val_loss;time;;;;
1;0,959471941;0,975530624;0,234120578;0,095261194;113;;Hasil;Max;Min
2;0,974764585;0,980350137;0,079210773;0,071293734;105;;Akurasi;0,992059886;0,959471941
3;0,978759587;0,98293215;0,063558638;0,060223207;104;;Val Akurasi;0,989879668;0,975530624
4;0,981268406;0,98408097;0,055537276;0,054734003;105;;Loss;0,234120578;0,021998541
5;0,982837915;0,98536104;0,050723866;0,049881116;105;;Val Loss;0,095261194;0,032481197
6;0,984124005;0,986416876;0,047030181;0,046022415;103;;Waktu;;88,33333333
7;0,984875262;0,986898243;0,044378269;0,043732896;104;;Waktu rata rata;;106
8;0,985566378;0,987166286;0,0422871;0,042758133;103;;;;
9;0,986129701;0,987691462;0,040486071;0,041321401;110;;;;
10;0,98659569;0,987789929;0,039151736;0,040216379;108;;;;
11;0,98707509;0,988074422;0,037698425;0,039867595;106;;;;
12;0,987311125;0,988342464;0,036858052;0,038462486;105;;;;
13;0,987681568;0,988331497;0,035609502;0,039176233;103;;;;
14;0,987934053;0,988265872;0,034875598;0,038262337;106;;;;
15;0,98818773;0,98838073;0,033957172;0,038109113;103;;;;
16;0,98833251;0,988391697;0,033199441;0,037205361;105;;;;
17;0,988441408;0,988216639;0,032684091;0,037400492;104;;;;
18;0,988599002;0,988703489;0,032283004;0,036122125;104;;;;
19;0,988828957;0,988632381;0,031587034;0,035934143;106;;;;
20;0,988967001;0,988878548;0,031077871;0,035754509;104;;;;
21;0,989150763;0,988637865;0,030684382;0,036854442;105;;;;
22;0,989279091;0,988643348;0,030104386;0,036016285;106;;;;
23;0,989414155;0,988949656;0,029725797;0,035453558;104;;;;
24;0,989545584;0,988993406;0,029287646;0,034733273;112;;;;
25;0,98981142;0,988960624;0,028759684;0,035201482;104;;;;
26;0,989847898;0,988834798;0,028485345;0,035589673;107;;;;
27;0,989844859;0,988884032;0,028292459;0,035062037;106;;;;
28;0,989880741;0,988977015;0,028045326;0,034646057;106;;;;
29;0,99012959;0,988966107;0,027533952;0,034610301;106;;;;
30;0,990330935;0,989053607;0,026945192;0,034390699;104;;;;
31;0,990358949;0,989141166;0,026638543;0,034158878;107;;;;
32;0,990402102;0,989009857;0,026437072;0,034053225;110;;;;
33;0,990460515;0,989064574;0,026224148;0,034531564;106;;;;
34;0,990617454;0,989173949;0,0258283;0,034061287;108;;;;
35;0,990595579;0,989157557;0,025721993;0,033855841;106;;;;
36;0,990731239;0,989299774;0,025455236;0,0338367;107;;;;
37;0,990722716;0,989234149;0,025256194;0,033971716;106;;;;
38;0,991037846;0,989671767;0,024755044;0,033037815;106;;;;
39;0,991143703;0,989305258;0,024581516;0,034370519;108;;;;
40;0,991088927;0,989545941;0,024443349;0,033386242;105;;;;
41;0,991223991;0,989595175;0,02411427;0,033199586;108;;;;
42;0,991221547;0,989239633;0,023940679;0,033489108;106;;;;
43;0,991526961;0,989781201;0,023475463;0,032594372;106;;;;
44;0,991568923;0,989447474;0,023189312;0,033829786;107;;;;
45;0,991711259;0,989562392;0,02299796;0,0334468;104;;;;
46;0,991693616;0,989879668;0,023164282;0,032496143;106;;;;
47;0,991789758;0,989245057;0,022637662;0,033626821;106;;;;
48;0,991915703;0,989682734;0,022510443;0,032481197;108;;;;
49;0,991905332;0,989595175;0,022417476;0,032718174;106;;;;
50;0,992059886;0,989852309;0,021998541;0,032718126;108;;;;
